year,constituency,constituency_type,candidates_name,party,vote_count,vote_percentage,decade,era,party_category,party_type,is_winner,margin,winner_pct,runner_up_pct,num_contesting_parties,is_walkover,race_category,winning_party,total_votes,vote_rank
1955,Farrer Park,na (Pre-1988),A. R. Lazarous,SLF,2585,0.3852,1950,1950s,Minor/Independent,Opposition,TRUE,0.0545,0.3852,0.3307,5,FALSE,Moderate,SLF,6710,1
1955,Bukit Panjang,na (Pre-1988),Lim Wee Toh,SLF,1192,0.2779,1950,1950s,Minor/Independent,Opposition,FALSE,0.4442,0.7221,0.2779,2,FALSE,Moderate,PP,4289,2
1955,Bukit Timah,na (Pre-1988),S. F. Ho,PP,722,0.1162,1950,1950s,Minor/Independent,Opposition,FALSE,0.31399999999999995,0.5245,0.2105,4,FALSE,Moderate,PAP,6213,4
1955,Bukit Timah,na (Pre-1988),Lim Ching Siong,PAP,3259,0.5245,1950,1950s,Major Party,PAP,TRUE,0.31399999999999995,0.5245,0.2105,4,FALSE,Moderate,PAP,6213,1
1955,Bukit Timah,na (Pre-1988),A. N. Mitra,SLF,924,0.1488,1950,1950s,Minor/Independent,Opposition,FALSE,0.31399999999999995,0.5245,0.2105,4,FALSE,Moderate,PAP,6213,3
1955,Bukit Timah,na (Pre-1988),Tan Wah Meng,DP,1308,0.2105,1950,1950s,Minor/Independent,Opposition,FALSE,0.31399999999999995,0.5245,0.2105,4,FALSE,Moderate,PAP,6213,2
1963,Paya Lebar,na (Pre-1988),Kow Kee Seng,BS,6152,0.4796,1960,1960s,Minor/Independent,Opposition,TRUE,0.0585,0.4796,0.4211,4,FALSE,Moderate,BS,12827,1
1955,Cairnhill,na (Pre-1988),C. C. Tan,PP,2530,0.3642,1950,1950s,Minor/Independent,Opposition,FALSE,0.11159999999999998,0.4758,0.3642,3,FALSE,Moderate,SLF,6946,2
1955,Cairnhill,na (Pre-1988),Tan Khiang Khoo,DP,1111,0.16,1950,1950s,Minor/Independent,Opposition,FALSE,0.11159999999999998,0.4758,0.3642,3,FALSE,Moderate,SLF,6946,3
1963,Bukit Panjang,na (Pre-1988),Ong Lian Teng,BS,5679,0.4645,1960,1960s,Minor/Independent,Opposition,TRUE,0.0604,0.4645,0.4041,4,FALSE,Moderate,BS,12225,1
